trial,token_set,accepted,cert_trigger,witness_size,equal_updates
559,EMPTY,0,bot,0,1
560,EMPTY,0,bot,0,1
561,t_h1,1,sup_h1,1,1
562,EMPTY,0,bot,0,1
563,EMPTY,0,bot,0,1
564,"t_h0,t_h1",1,sup_h0,1,1
565,"t_h0,t_h1",1,sup_h0,1,1
566,t_h1,1,sup_h1,1,1
567,"t_h0,t_h1",1,sup_h0,1,1
568,t_h0,1,sup_h0,1,1
569,"t_h0,t_h1",1,sup_h0,1,1
570,"t_h0,t_h1",1,sup_h0,1,1
571,"t_h0,t_h1",1,sup_h0,1,1
572,t_h0,1,sup_h0,1,1
573,"t_h0,t_h1",1,sup_h0,1,1
574,t_h1,1,sup_h1,1,1
575,t_h0,1,sup_h0,1,1
576,t_h1,1,sup_h1,1,1
577,t_h1,1,sup_h1,1,1
578,EMPTY,0,bot,0,1
579,t_h0,1,sup_h0,1,1
580,"t_h0,t_h1",1,sup_h0,1,1
581,EMPTY,0,bot,0,1
582,t_h0,1,sup_h0,1,1
583,"t_h0,t_h1",1,sup_h0,1,1
584,t_h0,1,sup_h0,1,1
585,"t_h0,t_h1",1,sup_h0,1,1
586,EMPTY,0,bot,0,1
587,t_h1,1,sup_h1,1,1
588,t_h1,1,sup_h1,1,1
589,EMPTY,0,bot,0,1
590,EMPTY,0,bot,0,1
591,t_h0,1,sup_h0,1,1
592,EMPTY,0,bot,0,1
593,t_h0,1,sup_h0,1,1
594,EMPTY,0,bot,0,1
595,"t_h0,t_h1",1,sup_h0,1,1
596,EMPTY,0,bot,0,1
597,EMPTY,0,bot,0,1
598,EMPTY,0,bot,0,1
599,EMPTY,0,bot,0,1
600,t_h0,1,sup_h0,1,1
601,t_h1,1,sup_h1,1,1
602,EMPTY,0,bot,0,1
603,t_h0,1,sup_h0,1,1
604,EMPTY,0,bot,0,1
605,"t_h0,t_h1",1,sup_h0,1,1
606,t_h1,1,sup_h1,1,1
607,t_h0,1,sup_h0,1,1
608,t_h0,1,sup_h0,1,1
609,"t_h0,t_h1",1,sup_h0,1,1
610,"t_h0,t_h1",1,sup_h0,1,1
611,"t_h0,t_h1",1,sup_h0,1,1
612,t_h1,1,sup_h1,1,1
613,t_h0,1,sup_h0,1,1
614,t_h1,1,sup_h1,1,1
615,EMPTY,0,bot,0,1
616,EMPTY,0,bot,0,1
617,t_h0,1,sup_h0,1,1
618,t_h0,1,sup_h0,1,1
619,t_h1,1,sup_h1,1,1
620,t_h0,1,sup_h0,1,1
